sha256,mal_type_11000,adware,flooder,ransomware,dropper,spyware,packed,crypto_miner,file_infector,installer,worm,downloader
80c317f99873f8e3870f297ad6f195a9e124fc3118d50dff5ea1281251e78fe4,adware,2,0,0,0,0,0,0,0,0,0,0
be4d4890efadbff75b4a30e290476ba8400097663b5da6768793b3a8928d4100,worm,0,0,0,0,0,0,0,0,0,7,0
5e15f5105dd3249a42e18498000408251ad00013ad0f609881c727c07256f139,worm,0,0,1,1,0,0,0,0,0,4,0
2be31734f664d184fec7bffdd7b7a379e5c430422abc97f03a0444ad07c0eda1,spyware,0,0,0,0,6,0,0,0,0,0,0
47d5b4c3e344857f632ed116dd1ad1939bcfddaa72379363c46293c0cf12de06,packed,0,0,0,0,0,3,0,1,0,1,1
eaf07003294e8aa9b04ae426233be9cd771db6c970b88529a4b18e07034d218a,adware,12,0,0,1,0,0,0,0,0,0,0
97d5f7edb4362b26a43713da47a363042d6ee12f979f290ce93fa91f26d95e74,worm,0,0,0,0,0,0,0,0,0,10,0
7348c0f95580d80635e24d9323e7a154c8e0da53e2feb5f66d48f8a9b48d56ec,downloader,0,0,0,1,1,0,0,0,0,1,2
a8cf89846223339d48c14cfe4d836a4e7e992e64c690702d79fc88f6f4066b7d,worm,0,0,0,0,0,0,0,0,0,7,0
086a11afc9ae41ff534559ef73683f26c9ac453233e4a6a1e1b8dac6a4a84feb,worm,0,0,0,0,12,0,0,5,0,13,0
d70ac10ddf3ff98348a60b00bc892fa53d8cad2196dd73d654a286892c5a03fd,ransomware,0,0,11,0,0,2,0,6,0,0,0
f9444865a0e7ca572ce2d2360ce448f28aa58b2d88c682b55ac622776a830da6,spyware,0,0,0,0,8,0,0,0,0,1,4
46fd1bd17ba1e703bc23c4cc4a96f218eeca3b3519f31a304000046fcd7d41f6,file_infector,0,0,0,0,0,0,0,9,0,0,0
35caac29636e8f1ed01ab55b30cf6a098aa847266ddf514ffd80503f587e7e16,dropper,1,0,0,5,5,1,0,1,0,1,0
53a6f6d789b6bb8af79f8c9a3f8d39d5b803d77db3e92310dc4fd032d7ab7e9d,dropper,0,0,0,7,2,0,0,0,0,0,0
941c561d57d28fa3cb7a9f4a9dfd4afa167568808201a0b0c3b2259eea501672,worm,0,0,0,0,0,0,0,0,0,13,0
57f84f8ffd53c8d973c394a7f6fb00c248c5cbb7bcbba447b07c494fc7fa958b,packed,0,0,0,0,0,4,0,2,0,2,2
672dbe472a2493bc336388c465983c112b45721462ea4301d5f294a748855368,dropper,0,0,0,1,0,0,0,0,0,0,0
