sha256,malware_type,adware,crypto_miner,downloader,dropper,file_infector,flooder,installer,packed,ransomware,spyware,worm
73bef72201237d811aed532120c5633ddd7d5d98ba86ca9d0524c5f19c336384,adware,32,0,0,1,0,0,6,0,0,0,0
924a2e9d5841793f56f2acaec70edfbf3afea1bb1f379af675530fd848636239,adware,31,0,1,2,0,0,7,1,0,0,0
6ce022ef3d29390cae658628349d31f69cb7159f2bc5906524b1bd593f6c883f,adware,32,0,0,1,0,0,6,0,0,0,0
9be9083e4572dc77ce547227954be2cfb13fa295b0aee89646baa04fd9813fe0,adware,32,0,0,1,0,0,7,0,0,0,0
15d65cb20a73df07e139c78e3002d10cbb3eabd2971ea1bd80747517e546201b,adware,33,0,0,1,1,0,6,0,0,1,0
61a94b08f9dec0d3463c31761d98f64c1e2af09584ef91bf86e3ef8d2218ff47,adware,31,0,0,1,0,0,6,0,0,1,0
51de4ebf9267c228de32cf99790bf099cce05cf9f979236b912f345aba0f65eb,adware,31,0,0,1,0,0,6,0,0,1,0
15ddc73ac9850b793327534f69f6d38da6765b51303dd99b82d6f3d91d8276d7,adware,33,0,1,2,0,0,7,1,0,0,0
f937eb55bcc59bbde7899e397cc19a7ef3d2f67ec3bf27470df4a424a6e58091,adware,33,0,0,1,1,0,6,0,0,1,0
a9606c68938768be249d0b7a79e33fc2d0f38081cbeb7497f025e9f756943bdd,adware,33,0,0,1,1,0,6,0,0,1,0
6a2e61f24339c5d2fc4abcabec05385cc5ee1b77ff6fd5a5e21987a429009aba,adware,32,0,1,2,0,0,7,1,0,0,0
5baaa3b398880995dfb1691b6d6dc270c100b2c4c09ea6b3b51006b781302d1e,adware,32,0,0,1,1,0,6,0,0,1,0
c849610744e3c683df48ee82883de450e11cb36d7ada57157dde43b5a5be1c6e,adware,31,0,0,1,1,0,6,0,0,1,0
d55ece146511250f4c31a45e35da3e7a03e06d501100955849b328b9f005beaa,adware,33,0,1,2,0,0,7,1,0,0,0
5f1db975681138b95120828c7e610e8fde13cae17df8cc0af605d039716e04c6,adware,32,0,0,1,1,0,6,0,0,1,0
e984550e40a60c714204d11c947f667f53873e61425e3918f5826d860eb36085,adware,31,0,0,1,1,0,6,0,0,1,0
3f9c2aaf18950117fc3795633fb6db5db2feb5af619d3a3fcef6fa78c9e19da6,adware,32,0,0,1,1,0,6,0,0,1,0
815ddf599876f776e785f5d8e1abc856eac409066a5214ea481a410849d9b29b,adware,33,0,0,1,1,0,6,0,0,1,0
2a3ce8852dd0ee17f7852a34c0c4f6e6957b6c368d02b94b77f9672a73483ddb,adware,32,0,0,1,0,0,6,0,0,0,0
bb8dca96ff41a2460cd62c9e1652e9c6282e7fe50ec295a3ab25e12f5d64a0f4,adware,32,0,0,1,1,0,6,0,0,1,0
75c06fcf200db2d601fb32307047a8bb4396dd0ad79fbf62697402f689da56ab,adware,31,0,0,1,0,0,6,0,0,0,0
83f79cd32c8a639d1c753951a08f708da65dcbcedc1793b953523c76b143304d,adware,31,0,0,1,0,0,6,0,0,0,0
06e0c11a84b3e6ae1e030fed61e633c26ceee86b9b725cf925c4715ecb234265,adware,33,0,0,1,1,0,6,0,0,1,0
c0573b5b0a8ea4312eaebadd62b565c78713efdda7fb89e6e17b3c87bf269e31,adware,31,0,0,1,1,0,6,0,0,1,0
7518d155724567a2e246e485d450c3c0432aa97ec13b222a4b8c27ca0de92123,adware,32,0,1,2,0,0,7,1,0,0,0
7db0724c9f241f5fbdedf57751c7e929cd9c32f798a0b3b6e40bd3ae639628a2,adware,32,0,0,0,0,0,6,0,0,0,0
043d4df41c07fe4884902bf67fa987824010ee7f7ad1200ef27649009df1dff2,adware,33,0,0,1,1,0,6,0,0,1,0
6374bb5eeea2525d02671ca600bf12bd34c2c46e8e317706fc723b6ac399a406,adware,31,0,1,1,0,0,6,0,0,0,0
ba54d60ecdcfcd5b3efdf1808da909a2dc8ac1cf4b10468fe29ce809ec664603,adware,33,0,1,2,0,0,7,1,0,0,0
04df3eab2ec77d6c372a494048947f08c0e77973cde508198229f22e5bd33df3,adware,32,0,0,1,1,0,6,0,0,1,0
94a36d0d328b4f307b72e94b3a431fcb209dc02eec300606a71c7d55f2ad6cfd,adware,31,0,0,1,1,0,6,0,0,1,0
9b6c2088cd81aaa95d8a148ce2df7da9d5c62bcb1fa5e5165333acb5310ccdfa,adware,31,0,0,1,1,0,6,0,0,1,0
f318e2252e23ec8d22f35b4a4581cf167971f1cbc8f12aa40a43aba45391e5de,adware,33,0,1,2,0,0,7,1,0,0,0
ebd967d0638c92c4b48e3b229e2bd28e05c7f38809b31c8ff7444dcf33409410,adware,31,0,0,1,1,0,6,0,0,1,0
2dd85e1d55f8d832c06ed75dd01d4d84dc0b994543e37fb59cd3308707f00bea,adware,31,0,0,1,1,0,6,0,0,1,0
