sha256,malware_type,adware,crypto_miner,downloader,dropper,file_infector,flooder,installer,packed,ransomware,spyware,worm
f042ff63e633b0601c73f289298b37381de793627f0c02937f1f6447aa8220a7,adware,32,0,0,1,0,0,6,0,0,1,0
199c1915e8cbabdee3cfc4b144a5bb8d197bbfff71a3fae2bd6174db933ff8cc,adware,32,0,1,2,0,0,7,1,0,0,0
6259a46c51563782bd378f8976dec01f7c21f1ed9092e02c71211ce1ad3bdf3e,adware,32,0,0,1,0,0,6,0,0,1,0
3034818950ea3762a5af34751ec2793e4d0afe70af069536a9d0d4f26dbe4c6b,adware,32,0,0,0,1,0,6,0,0,1,0
f54f2cd9a8b204857af2ae291f2bc817292db098f79141af333681db483c61dd,adware,33,0,1,2,0,0,7,1,0,0,0
65158c9ab753d0465cb7aa507026a72df2f6bb85d0f7a4f11c1031f87d5eac4b,adware,34,0,1,2,0,0,7,1,0,0,0
11b30d21ed483bd30e29267af75557f4b01625786cd940ab6f2a7c69c0a5e044,adware,32,0,0,1,0,0,7,0,0,0,0
79718d841372c9ac95e4bb8dd73b9fefdc2cac1dc8654fc522ca663831a0ec47,adware,32,0,0,1,0,0,7,0,0,0,0
07690a38b5267b6bfe423c754990717925e166e78cd5ee2617770e9a43c16ba3,adware,33,0,1,2,0,0,7,1,0,0,0
9ea992871f828c7f054837386068ae8927dd6cbda36f21a26669f60928055b47,adware,33,0,1,2,0,0,7,1,0,0,0
631983bcb3b2d09c9bf54076400fcbc651a67e921c8518596dc27470eb1ef305,adware,31,0,0,1,1,0,6,0,0,1,0
95dca0bc594a99f7937c240c790cb92cdbe0245a63bca67ccacfb4b9b3002018,adware,34,0,1,2,0,0,7,1,0,0,0
a6f590ad8a0d527bff62295e4351b7ed14701a3ee77399657344f1847f74b1a5,adware,34,0,1,2,0,0,7,1,0,0,0
4bb9a5845491182c2e4b0788dde9f00d73b23b4b9190bbb5e9ecfc9d2d39a059,adware,31,0,1,1,0,0,7,1,0,0,0
4a91fd267b5b08602961fdf813945daed6b77e73a8247ae275884075e1623603,adware,31,0,0,1,0,0,6,0,0,0,0
fbce784829ec471638f28595e7cfcc2146213a11e83df5086eb0350eeb92312c,adware,32,0,0,1,0,0,7,0,0,0,0
5390ff7642009d52993095db18d060351e3bc0aa0ad950294913f00fb4c1b012,adware,33,0,1,2,0,0,7,1,0,0,0
dc9ef6c48d402fbc75f6d2cdc2b905e6867e6ba2c4532b9fe0b02b6c72f5e983,adware,34,0,1,2,0,0,7,1,0,0,0
582bcf0010c3083a36515e602491da092fa396f95b065f735a387bb208156442,adware,33,0,1,2,0,0,7,1,0,0,0
a2ef7e400d2cbb41aa6e946bfc201f938faaf186f96db6d75359a33e3b805c7a,adware,33,0,0,1,1,0,7,0,0,1,0
9644da898eadc737fa5b8c264a7ab2c86fe65bb929b2427954a777712db32c2e,adware,33,0,1,2,0,0,7,1,0,0,0
5adf00880c4553cd38f3f64b21c72d301652d1225d29e04b0decac14faa39a99,adware,33,0,0,1,1,0,7,0,0,1,0
e513cc7d48932044031cc97513575017557b3c09c5db7bd2cf33e34f71bb5442,adware,32,0,1,2,0,0,7,1,0,0,0
d562043699597820d63436dfa1a26eca91f00b252a1b2fd85ed95ccf7909f1af,adware,32,0,1,2,0,0,7,1,0,0,0
70a004efe1e10a73a7b15f4728e58cbd418090b0f837f48c1f356a9789514b6e,adware,33,0,1,2,0,0,7,1,0,0,0
ec2d9d2f643a31f795fe6d0b6605c95de44f73ceebd929e033b4217b9e9f5e42,adware,32,0,0,1,1,0,6,0,0,1,0
1e1dcb6fe866873816a2560d011c51e28c04e8afe8fcc80805e7411ae78268b7,adware,33,0,0,1,1,0,7,0,0,1,0
a0f4f94b02e93746e0ea46920e4e3228185f2c6290ef632ae6d90d2fe91df990,adware,33,0,0,2,0,0,6,0,0,1,0
f71ec22fff25f7cdb6c09f38a373fc838cd01db8f2c58597cf164e9165a95d9d,adware,33,0,0,1,1,0,7,0,0,1,0
e0014eeabd3a154e26e10c9664f2bef26e416598aa8a076b8ac395764857d163,adware,31,0,0,2,0,0,6,0,0,1,0
067f916c7a77d9bcc9e85b68aaa2d6267689122b89be35cc836598d95d00b7ea,adware,33,0,0,2,0,0,6,0,0,0,0
598cb383846cd05ea6dd9637016fcad5be351d47ab454148caa175433d25639e,adware,33,0,0,1,1,0,7,0,0,1,0
6508da8f4ea3dcda427172f1dac263ac6e8eb776eefe4d63a8c8bf6972cae4be,adware,33,0,0,2,0,0,6,0,0,1,0
eca5d97b9f0eee304d86a19007caf3c1ab728f83623b05a48ead857c18e87fa2,adware,33,0,0,1,0,0,6,0,0,1,0
0e5d375e80974b085f2b6714829a1e9e218f2dc4ebbf3ceb91a270a7251d6c94,adware,33,0,0,1,1,0,7,0,0,1,0
72ef05634d4cc7dcf6fd38c6f5f6e756f5c7e349099419d3ffbe1765308a7cdd,adware,33,0,0,2,0,0,6,0,0,1,0
f7b0b39ab6366ea2208783a3513c31fb58c712437fe54b4dca15a082d2ad487d,adware,33,0,0,1,1,0,7,0,0,1,0
6dbb062763ad9635834a18d2980361ca012b03a82794c5551e307a6ef72aa48e,adware,32,0,0,2,0,0,7,0,0,1,0
